year,origin,destination,submissions
2014,Dem. Rep. of the Congo,Finland,199
2014,Bhutan,Netherlands,2
2014,Eritrea,Sweden,173
2014,Myanmar,New Zealand,257
2014,Sudan,France,14
2014,Syrian Arab Rep.,Uruguay,188
2014,Somalia,Australia,18
2014,Iraq,Switzerland,24
2014,Iraq,Denmark,21
2014,Syrian Arab Rep.,Denmark,165
2014,Syrian Arab Rep.,UK,242
2014,Sudan,New Zealand,3
2014,Afghanistan,France,6
2014,Myanmar,Australia,1037
2014,Afghanistan,New Zealand,521
2014,Syrian Arab Rep.,Luxembourg,59
2014,Somalia,Portugal,1
2014,Syrian Arab Rep.,Ireland,114
2014,Dem. Rep. of the Congo,Monaco,10
2014,Dem. Rep. of the Congo,France,4
2014,Eritrea,Netherlands,93
2014,Somalia,Germany,33
2014,Sudan,Norway,25
2014,Syrian Arab Rep.,Belarus,24
2014,Eritrea,France,12
2014,Sudan,Germany,2
2014,Iraq,Finland,37
2014,Syrian Arab Rep.,Norway,1193
2014,Syrian Arab Rep.,Australia,588
2014,Dem. Rep. of the Congo,Norway,258
2014,Dem. Rep. of the Congo,USA,14985
2014,Eritrea,USA,1633
2014,Afghanistan,Canada,260
2014,Syrian Arab Rep.,Liechtenstein,20
2014,Sudan,USA,1951
2014,Syrian Arab Rep.,Netherlands,169
2014,Dem. Rep. of the Congo,Australia,162
2014,Afghanistan,UK,3
2014,Eritrea,Norway,33
2014,Afghanistan,Sweden,352
2014,Syrian Arab Rep.,USA,10200
2014,Syrian Arab Rep.,Hungary,4
2014,Eritrea,Denmark,6
2014,Myanmar,Norway,3
2014,Iraq,Ireland,9
2014,Eritrea,Austria,3
2014,Syrian Arab Rep.,Canada,2816
2014,Bhutan,USA,4894
2015,Iraq,USA,7304
2015,Iran (Islamic Rep. of),Norway,21
2015,Somalia,France,5
2015,Syrian Arab Rep.,Portugal,20
2015,Myanmar,USA,8106
2015,Iraq,Netherlands,17
2015,Somalia,Finland,20
2015,Sudan,Netherlands,4
2015,Iran (Islamic Rep. of),Belgium,18
2015,Dem. Rep. of the Congo,Norway,32
2015,Eritrea,Germany,234
2015,Myanmar,Canada,55
2015,Myanmar,Japan,53
2015,Sudan,Portugal,5
2015,Somalia,New Zealand,172
2015,Syrian Arab Rep.,Ireland,560
2015,Iraq,Germany,28
2015,Iran (Islamic Rep. of),Finland,14
2015,Somalia,Norway,2
2015,Syrian Arab Rep.,Belgium,504
2015,Myanmar,Australia,1029
2015,Iraq,Finland,5
2015,Somalia,UK,184
2015,Iraq,Sweden,124
2015,Afghanistan,UK,1
2015,Dem. Rep. of the Congo,France,21
2015,Eritrea,UK,31
2015,Sudan,New Zealand,5
2015,Afghanistan,Netherlands,1
2015,Sudan,Denmark,15
2015,Sudan,France,17
2015,Syrian Arab Rep.,Netherlands,347
2015,Iraq,Portugal,3
2015,Iran (Islamic Rep. of),Sweden,20
2015,Eritrea,Italy,64
2015,Syrian Arab Rep.,Norway,3420
2015,Afghanistan,Australia,848
2015,Iraq,France,10
