Year,Country of Origin (ISO),origin,Country of Resettlement (ISO),destination,submissions
2012,MMR,Myanmar,USA,United States of America,19075
2012,SDN,Sudan,DEU,Germany,93
2012,IRQ,Iraq,NZL,New Zealand,61
2012,ERI,Eritrea,ITA,Italy,7
2012,ERI,Eritrea,NLD,Netherlands,39
2012,SDN,Sudan,FRA,France,1
2012,IRN,Iran (Islamic Rep. of),NOR,Norway,387
2012,IRN,Iran (Islamic Rep. of),HUN,Hungary,1
2012,SDN,Sudan,NZL,New Zealand,117
2012,IRQ,Iraq,NLD,Netherlands,115
2012,SOM,Somalia,FIN,Finland,64
2012,MMR,Myanmar,NLD,Netherlands,60
2012,SOM,Somalia,GBR,United Kingdom of Great Britain and Northern Ireland,350
2012,MMR,Myanmar,JPN,Japan,27
2012,ERI,Eritrea,GBR,United Kingdom of Great Britain and Northern Ireland,18
2012,AFG,Afghanistan,FIN,Finland,314
2012,AFG,Afghanistan,NOR,Norway,74
2012,BTN,Bhutan,AUS,Australia,780
2012,SDN,Sudan,ESP,Spain,2
2012,SOM,Somalia,USA,United States of America,4456
2012,IRQ,Iraq,GBR,United Kingdom of Great Britain and Northern Ireland,86
2012,SYR,Syrian Arab Rep.,SWE,Sweden,56
2012,COD,Dem. Rep. of the Congo,FIN,Finland,180
2012,COD,Dem. Rep. of the Congo,CAN,Canada,1154
2012,SDN,Sudan,SWE,Sweden,129
2012,IRQ,Iraq,FIN,Finland,38
2013,SYR,Syrian Arab Rep.,SWE,Sweden,424
2013,COD,Dem. Rep. of the Congo,DNK,Denmark,165
2013,MMR,Myanmar,SWE,Sweden,45
2013,SOM,Somalia,CAN,Canada,320
2013,MMR,Myanmar,GBR,United Kingdom of Great Britain and Northern Ireland,2
2013,MMR,Myanmar,USA,United States of America,20586
2013,SYR,Syrian Arab Rep.,FRA,France,72
2013,AFG,Afghanistan,BRA,Brazil,1
2013,BTN,Bhutan,CAN,Canada,619
2013,SDN,Sudan,CAN,Canada,191
2013,SOM,Somalia,PRT,Portugal,3
2013,SOM,Somalia,AUS,Australia,37
2013,SOM,Somalia,GBR,United Kingdom of Great Britain and Northern Ireland,159
2013,ERI,Eritrea,USA,United States of America,1323
2013,SYR,Syrian Arab Rep.,GBR,United Kingdom of Great Britain and Northern Ireland,1
2013,SDN,Sudan,NLD,Netherlands,10
2013,SYR,Syrian Arab Rep.,NLD,Netherlands,104
2013,COD,Dem. Rep. of the Congo,NOR,Norway,213
2013,SDN,Sudan,NZL,New Zealand,4
2013,SOM,Somalia,FRA,France,87
2013,SDN,Sudan,PRT,Portugal,1
2013,MMR,Myanmar,CAN,Canada,622
2013,SYR,Syrian Arab Rep.,LUX,Luxembourg,25
2013,COD,Dem. Rep. of the Congo,ISL,Iceland,1
2013,ERI,Eritrea,FRA,France,23
2013,BTN,Bhutan,NZL,New Zealand,122
2013,SDN,Sudan,NOR,Norway,17
2013,COD,Dem. Rep. of the Congo,NZL,New Zealand,9
2013,AFG,Afghanistan,FIN,Finland,279
2013,SOM,Somalia,NLD,Netherlands,9
2013,ERI,Eritrea,AUS,Australia,279
2013,COD,Dem. Rep. of the Congo,IRL,Ireland,31
2013,IRN,Iran (Islamic Rep. of),BEL,Belgium,1
2013,IRN,Iran (Islamic Rep. of),DEU,Germany,147
2013,ERI,Eritrea,DNK,Denmark,3
2013,COD,Dem. Rep. of the Congo,FRA,France,21
2013,SYR,Syrian Arab Rep.,NZL,New Zealand,3
2013,SOM,Somalia,SWE,Sweden,373
2013,AFG,Afghanistan,PRT,Portugal,4
2013,AFG,Afghanistan,NZL,New Zealand,45
2013,SYR,Syrian Arab Rep.,NOR,Norway,9
2013,AFG,Afghanistan,BEL,Belgium,1
2013,ERI,Eritrea,NOR,Norway,277
2013,BTN,Bhutan,DNK,Denmark,122
2013,SDN,Sudan,DNK,Denmark,38
2013,IRN,Iran (Islamic Rep. of),ISL,Iceland,4
2013,AFG,Afghanistan,NOR,Norway,247
2013,SOM,Somalia,ISL,Iceland,1
2013,ERI,Eritrea,SWE,Sweden,491
2013,IRN,Iran (Islamic Rep. of),NLD,Netherlands,7
2013,IRQ,Iraq,SWE,Sweden,3
2013,IRN,Iran (Islamic Rep. of),NZL,New Zealand,9
2013,ERI,Eritrea,NZL,New Zealand,29
2013,COD,Dem. Rep. of the Congo,AUS,Australia,850
2013,COD,Dem. Rep. of the Congo,FIN,Finland,169
2013,SDN,Sudan,USA,United States of America,2223
2013,IRN,Iran (Islamic Rep. of),FIN,Finland,156
2013,IRN,Iran (Islamic Rep. of),AUS,Australia,465
2013,SYR,Syrian Arab Rep.,CAN,Canada,105
2013,IRN,Iran (Islamic Rep. of),DNK,Denmark,1
2013,ERI,Eritrea,FIN,Finland,21
2013,BTN,Bhutan,GBR,United Kingdom of Great Britain and Northern Ireland,3
2013,SDN,Sudan,IRL,Ireland,5
2013,SOM,Somalia,IRL,Ireland,5
2013,AFG,Afghanistan,FRA,France,28
2013,IRN,Iran (Islamic Rep. of),USA,United States of America,1169
2013,SDN,Sudan,FRA,France,19
2013,ERI,Eritrea,CAN,Canada,1079
2013,SYR,Syrian Arab Rep.,DEU,Germany,4253
2013,ERI,Eritrea,GBR,United Kingdom of Great Britain and Northern Ireland,4
2013,MMR,Myanmar,JPN,Japan,69
2013,AFG,Afghanistan,CAN,Canada,241
2013,IRQ,Iraq,GBR,United Kingdom of Great Britain and Northern Ireland,175
2013,COD,Dem. Rep. of the Congo,SWE,Sweden,270
2013,COD,Dem. Rep. of the Congo,PRT,Portugal,3
2013,SDN,Sudan,GBR,United Kingdom of Great Britain and Northern Ireland,162
2013,IRN,Iran (Islamic Rep. of),FRA,France,5
2013,IRQ,Iraq,AUS,Australia,2517
2013,SYR,Syrian Arab Rep.,HUN,Hungary,5
2013,AFG,Afghanistan,DEU,Germany,5
2013,ERI,Eritrea,NLD,Netherlands,207
2013,BTN,Bhutan,NOR,Norway,3
2013,AFG,Afghanistan,USA,United States of America,926
2013,COD,Dem. Rep. of the Congo,CHL,Chile,3
2013,AFG,Afghanistan,ISL,Iceland,16
2013,SYR,Syrian Arab Rep.,USA,United States of America,107
2013,COD,Dem. Rep. of the Congo,GBR,United Kingdom of Great Britain and Northern Ireland,178
2013,SYR,Syrian Arab Rep.,CHE,Switzerland,21
2013,IRQ,Iraq,USA,United States of America,7409
2013,MMR,Myanmar,FIN,Finland,2
2013,AFG,Afghanistan,AUS,Australia,2880
2013,IRQ,Iraq,NLD,Netherlands,167
2013,COD,Dem. Rep. of the Congo,NLD,Netherlands,230
2013,IRN,Iran (Islamic Rep. of),PRT,Portugal,13
2013,SDN,Sudan,AUS,Australia,88
2013,IRN,Iran (Islamic Rep. of),GBR,United Kingdom of Great Britain and Northern Ireland,2
2013,IRQ,Iraq,NZL,New Zealand,79
2013,SYR,Syrian Arab Rep.,AUS,Australia,114
2013,IRQ,Iraq,CHE,Switzerland,26
2013,ERI,Eritrea,ISL,Iceland,1
2013,AFG,Afghanistan,NLD,Netherlands,5
2013,AFG,Afghanistan,IRL,Ireland,42
2013,COD,Dem. Rep. of the Congo,CAN,Canada,733
2013,SYR,Syrian Arab Rep.,DNK,Denmark,1
2013,IRQ,Iraq,CAN,Canada,2365
2013,MMR,Myanmar,NOR,Norway,11
2013,AFG,Afghanistan,SWE,Sweden,452
2013,IRQ,Iraq,FRA,France,15
2013,IRN,Iran (Islamic Rep. of),CAN,Canada,821
2013,BTN,Bhutan,USA,United States of America,5472
2013,SDN,Sudan,FIN,Finland,187
2013,IRQ,Iraq,ROU,Romania,82
2013,MMR,Myanmar,NZL,New Zealand,262
2013,IRQ,Iraq,FIN,Finland,26
2013,IRQ,Iraq,DEU,Germany,349
2013,SOM,Somalia,DNK,Denmark,53
2013,AFG,Afghanistan,DNK,Denmark,3
2013,IRN,Iran (Islamic Rep. of),SWE,Sweden,15
2013,IRN,Iran (Islamic Rep. of),NOR,Norway,11
2013,COD,Dem. Rep. of the Congo,BEL,Belgium,76
2013,SYR,Syrian Arab Rep.,ISL,Iceland,1
2013,SOM,Somalia,USA,United States of America,7606
2013,MMR,Myanmar,NLD,Netherlands,2
2013,MMR,Myanmar,AUS,Australia,1880
2013,SYR,Syrian Arab Rep.,AUT,Austria,32
2013,SOM,Somalia,FIN,Finland,36
2013,BTN,Bhutan,AUS,Australia,729
2013,SDN,Sudan,SWE,Sweden,75
2013,IRQ,Iraq,PRT,Portugal,6
2013,SOM,Somalia,NZL,New Zealand,19
2013,IRQ,Iraq,NOR,Norway,6
2013,COD,Dem. Rep. of the Congo,USA,United States of America,8905
2013,SOM,Somalia,DEU,Germany,10
2013,SOM,Somalia,NOR,Norway,246
2014,SOM,Somalia,USA,United States of America,8208
2014,COD,Dem. Rep. of the Congo,NOR,Norway,258
2014,AFG,Afghanistan,NZL,New Zealand,521
2014,SDN,Sudan,FIN,Finland,188
2014,SYR,Syrian Arab Rep.,LUX,Luxembourg,59
2014,SYR,Syrian Arab Rep.,IRL,Ireland,114
2014,SOM,Somalia,DNK,Denmark,43
2014,ERI,Eritrea,NZL,New Zealand,15
2014,COD,Dem. Rep. of the Congo,FRA,France,4
2014,SOM,Somalia,DEU,Germany,33
2014,SYR,Syrian Arab Rep.,DEU,Germany,2108
2014,SYR,Syrian Arab Rep.,BLR,Belarus,24
2014,ERI,Eritrea,FRA,France,12
2014,IRQ,Iraq,NLD,Netherlands,20
2014,SDN,Sudan,DEU,Germany,2
2014,SYR,Syrian Arab Rep.,NOR,Norway,1193
2014,COD,Dem. Rep. of the Congo,GBR,United Kingdom of Great Britain and Northern Ireland,253
2014,COD,Dem. Rep. of the Congo,CAN,Canada,2409
2014,BTN,Bhutan,USA,United States of America,4894
2014,AFG,Afghanistan,CAN,Canada,260
2014,SDN,Sudan,DNK,Denmark,37
2014,SYR,Syrian Arab Rep.,LIE,Liechtenstein,20
2014,SYR,Syrian Arab Rep.,NLD,Netherlands,169
2014,SOM,Somalia,FIN,Finland,41
2014,IRQ,Iraq,USA,United States of America,7115
2014,AFG,Afghanistan,GBR,United Kingdom of Great Britain and Northern Ireland,3
2014,AFG,Afghanistan,SWE,Sweden,352
2014,SYR,Syrian Arab Rep.,SWE,Sweden,782
2014,SYR,Syrian Arab Rep.,HUN,Hungary,4
2014,ERI,Eritrea,DNK,Denmark,6
2014,IRQ,Iraq,NOR,Norway,17
